,0,1,2,3,4,5,6
[23.],0.0029322498757664264,0.002216488055620786,0.0036103149074440694,0.06116371561999823,0.012169079371743349,0.0006082594739586222,0.0011631360202646484
[28.],4.490898617388843e-05,4.798796757781776e-05,0.004108545073277011,0.0,0.0,0.0,0.0
[27.],3.582080384094413e-05,0.007396269827998287,0.0012930959515423833,0.0,0.0,0.00019411833631654296,0.0007842259816106898
[29.],0.0,0.0,0.010391121984380426,0.0,0.0,0.0,3.6625249907674174e-05
[31.],0.0,0.0,1.8540049691746908e-05,4.691883371906142e-06,1.8589681729042464e-05,0.0022999009518047463,1.8733349394034048e-05
[33.],0.0,0.0020917643244581733,2.604394173131538e-05,0.0005433871039515994,5.205751503153311e-05,2.598602954488207e-05,0.0
[35.],0.0,0.00102207572696447,2.416589576483993e-05,2.2367711801941944e-05,0.0028874052778973375,2.714815238952188e-05,0.0
[37.],0.0032733989508132643,9.494612694330286e-05,0.0,0.0,9.530224996179905e-05,0.0,0.0
[39.],0.0,0.0,0.00010038115614563226,0.010532363380342845,0.0,9.792424884584084e-05,0.0
[38.],0.0,0.0,2.197284905766194e-05,0.0,0.0,0.0,0.010776137803783678
[32.],0.001049581699185542,0.0,0.0,0.0,2.023718092605917e-05,0.0,0.0
[30.],0.01004865726176147,0.0,0.0,0.0,0.0,0.00050890123529267,0.0
[15.],0.004241279479898368,0.003799867013690229,0.0033767483723192867,0.008143895900110838,0.0126011169641324,0.004832505014110264,0.008894946473726613
[9.],-0.009135440594242534,-0.007742524073601698,-0.0077775525371004805,-0.007838195040390815,-0.00984369259475453,-0.010123294441196352,-0.007786991318302888
[11.],0.0012127872443145828,0.0012471863444977265,0.0011816372801136052,0.0012233223812708439,-0.002223095175545041,0.001237341528600155,0.0012088022436773193
[7.],-0.022186153983415516,-0.02220345567463066,-0.022175817294145864,-0.022374803247230235,-0.026229473359157145,-0.031619900294175114,-0.022248068831879353
[5.],-0.05726388884452124,-0.05504264757096439,-0.056246082642858054,-0.049938449269461394,-0.05176253634478043,-0.051933537771085586,-0.05116179326564475
